"CODGEO","nom_commune","pop_tot","year_data"
"01436","Vesancy",484,2017
"01437","Vescours",241,2017
"01439","Vésines",99,2017
"01441","Vieu-d'Izenave",707,2017
"01443","Villars-les-Dombes",4795,2017
"01444","Villebois",1173,2017
"01445","Villemotier",656,2017
"01446","Villeneuve",1501,2017
"01447","Villereversure",1291,2017
"01448","Villes",376,2017
"01449","Villette-sur-Ain",755,2017
"01450","Villieu-Loyes-Mollon",3653,2017
"01451","Viriat",6418,2017
"01452","Virieu-le-Grand",1081,2017
"01453","Arvière-en-Valromey",713,2017
"01454","Virignin",1097,2017
"01456","Vongnes",70,2017
"01457","Vonnas",2961,2017
"02001","Abbécourt",498,2017
"02002","Achery",598,2017
"02003","Acy",1012,2017
"02004","Agnicourt-et-Séchelles",177,2017
"02005","Aguilcourt",384,2017
"02006","Aisonville-et-Bernoville",255,2017
"02007","Aizelles",125,2017
"02008","Aizy-Jouy",291,2017
"02009","Alaincourt",543,2017
"02010","Allemant",177,2017
"02011","Ambleny",1155,2017
"02012","Ambrief",70,2017
"02013","Amifontaine",404,2017
"02014","Amigny-Rouy",744,2017
"02015","Ancienville",75,2017
"02016","Andelain",228,2017
"02017","Anguilcourt-le-Sart",315,2017
"02018","Anizy-le-Grand",2533,2017
"02019","Annois",364,2017
"02020","Any-Martin-Rieux",456,2017
"02021","Archon",87,2017
"02022","Arcy-Sainte-Restitue",403,2017
"02023","Armentières-sur-Ourcq",103,2017
"02024","Arrancy",53,2017
"02025","Artemps",371,2017
"02027","Assis-sur-Serre",222,2017
"02028","Athies-sous-Laon",2604,2017
"02029","Attilly",363,2017
"02030","Aubencheul-aux-Bois",269,2017
"02031","Aubenton",657,2017
"02032","Aubigny-aux-Kaisnes",253,2017
"02033","Aubigny-en-Laonnois",105,2017
"02034","Audignicourt",118,2017
"02035","Audigny",279,2017
"02036","Augy",82,2017
"02037","Aulnois-sous-Laon",1422,2017
"02038","Les Autels",57,2017
"02039","Autremencourt",169,2017
"02040","Autreppes",178,2017
"02041","Autreville",814,2017
"02042","Azy-sur-Marne",389,2017
"02043","Bagneux",69,2017
"02044","Bancigny",26,2017
"02046","Barenton-Bugny",555,2017
"02047","Barenton-Cel",114,2017
"02048","Barenton-sur-Serre",134,2017
"02049","Barisis-aux-Bois",740,2017
"02050","Barzy-en-Thiérache",330,2017
"02051","Barzy-sur-Marne",384,2017
"02052","Bassoles-Aulers",139,2017
"02053","Vallées en Champagne",570,2017
"02054","Bazoches-sur-Vesles",460,2017
"02055","Beaumé",92,2017
"02056","Beaumont-en-Beine",177,2017
"02057","Beaurevoir",1424,2017
"02058","Beaurieux",844,2017
"02059","Beautor",2699,2017
"02060","Beauvois-en-Vermandois",268,2017
"02061","Becquigny",250,2017
"02062","Belleau",136,2017
"02063","Bellenglise",381,2017
"02064","Belleu",3810,2017
"02065","Bellicourt",602,2017
"02066","Benay",204,2017
"02067","Bergues-sur-Sambre",213,2017
"02068","Berlancourt",103,2017
"02069","Berlise",111,2017
"02070","Bernot",452,2017
"02071","Berny-Rivière",651,2017
"02072","Berrieux",188,2017
"02073","Berry-au-Bac",653,2017
"02074","Bertaucourt-Epourdon",604,2017
"02075","Berthenicourt",199,2017
"02076","Bertricourt",162,2017
"02077","Berzy-le-Sec",385,2017
"02078","Besmé",160,2017
"02079","Besmont",152,2017
"02080","Besny-et-Loizy",350,2017
"02081","Béthancourt-en-Vaux",440,2017
"02082","Beugneux",111,2017
"02083","Beuvardes",749,2017
"02084","Bézu-le-Guéry",260,2017
"02085","Bézu-Saint-Germain",1043,2017
"02086","Bichancourt",1048,2017
"02087","Bieuxy",30,2017
"02088","Bièvres",88,2017
"02089","Billy-sur-Aisne",1154,2017
"02090","Billy-sur-Ourcq",213,2017
"02091","Blanzy-lès-Fismes",106,2017
"02093","Blérancourt",1290,2017
"02094","Blesmes",447,2017
"02095","Bohain-en-Vermandois",5664,2017
"02096","Bois-lès-Pargny",201,2017
"02097","Boncourt",259,2017
"02098","Bonneil",375,2017
"02099","Bonnesvalyn",236,2017
"02100","Bony",137,2017
"02101","Bosmont-sur-Serre",193,2017
"02102","Bouconville-Vauclair",187,2017
"02103","Boué",1324,2017
"02104","Bouffignereux",102,2017
"02105","Bouresches",202,2017
"02106","Bourg-et-Comin",822,2017
"02107","Bourguignon-sous-Coucy",103,2017
"02108","Bourguignon-sous-Montbavin",158,2017
"02109","La Bouteille",486,2017
"02110","Braine",2213,2017
"02111","Brancourt-en-Laonnois",708,2017
"02112","Brancourt-le-Grand",565,2017
"02114","Brasles",1529,2017
"02115","Braye-en-Laonnois",203,2017
"02116","Braye-en-Thiérache",146,2017
"02117","Bray-Saint-Christophe",67,2017
"02118","Braye",121,2017
"02119","Brécy",340,2017
"02120","Brenelle",195,2017
"02121","Breny",244,2017
"02122","Brie",53,2017
"02123","Brissay-Choigny",303,2017
"02124","Brissy-Hamégicourt",653,2017
"02125","Brumetz",213,2017
"02126","Brunehamel",456,2017
"02127","Bruyères-sur-Fère",189,2017
"02128","Bruyères-et-Montbérault",1532,2017
"02129","Bruys",19,2017
"02130","Bucilly",193,2017
"02131","Bucy-le-Long",1880,2017
"02132","Bucy-lès-Cerny",203,2017
"02133","Bucy-lès-Pierrepont",411,2017
"02134","Buire",869,2017
"02135","Buironfosse",1168,2017
"02136","Burelles",128,2017
"02137","Bussiares",152,2017
"02138","Buzancy",190,2017
"02139","Caillouël-Crépigny",438,2017
"02140","Camelin",454,2017
"02141","La Capelle",1788,2017
"02142","Castres",244,2017
"02143","Le Catelet",192,2017
"02144","Caulaincourt",145,2017
"02145","Caumont",546,2017
"02146","Celles-lès-Condé",87,2017
"02148","Celles-sur-Aisne",258,2017
"02149","Cerizy",67,2017
"02150","Cerny-en-Laonnois",64,2017
"02151","Cerny-lès-Bucy",115,2017
"02152","Cerseuil",89,2017
"02153","Cessières-Suzy",763,2017
"02154","Chacrise",361,2017
"02155","Chaillevois",174,2017
"02156","Chalandry",253,2017
"02157","Chambry",848,2017
"02158","Chamouille",284,2017
"02159","Champs",280,2017
"02160","Chaourse",539,2017
"02162","La Chapelle-sur-Chézy",278,2017
"02163","Charly-sur-Marne",2617,2017
"02164","Le Charmel",316,2017
"02165","Charmes",1652,2017
